variant,run,avg_ms,match_total_ms,score_total_ms,score_all_only_ms,score_all_call_count,batched_score_all_call_count,batch_candidate_count,batch_scan_count,score_grouping_ms,score_vector_alloc_count,score_sort_ms,device_alloc_ms,h2d_grid_ms,h2d_scan_ms,h2d_cand_ms,h2d_total_ms,kernel_ms,d2h_score_ms,sync_ms,branch_ms
gpu_shared_batched,4,2.931,2.928,2.757,2.523,4.0,4.0,3852.0,18.0,0.055,36.0,0.171,0.302,0.115,1.066,0.142,1.323,0.255,0.059,0.0,1.849
gpu_shared_cached_grid,4,2.954,2.952,2.785,2.465,18.0,0.0,0.0,0.0,0.124,240.0,0.173,0.188,0.083,0.473,0.655,1.211,0.427,0.205,0.001,0.516
cpu_boundary_openmp,5,2.117,2.074,1.606,1.052,18.0,0.0,0.0,0.0,0.266,240.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
gpu_reuse_buffer,5,4.86,4.856,4.681,4.343,18.0,0.0,0.0,0.0,0.138,240.0,0.175,0.0,0.749,0.807,0.76,2.316,1.173,0.359,0.001,0.671
gpu_reuse_buffer_cached_grid,5,3.102,3.099,2.939,2.62,18.0,0.0,0.0,0.0,0.126,240.0,0.172,0.0,0.164,0.492,0.428,1.084,1.042,0.232,0.004,0.677
gpu_reuse_buffer_cached_grid_batched,5,1.541,1.539,1.368,1.131,4.0,4.0,3852.0,18.0,0.054,36.0,0.175,0.0,0.19,0.34,0.227,0.757,0.225,0.073,0.0,0.789
gpu_reuse_warp_cached_grid_batched,5,1.269,1.268,1.103,0.868,4.0,4.0,3852.0,18.0,0.055,36.0,0.174,0.0,0.152,0.224,0.17,0.546,0.193,0.052,0.0,0.567
gpu_shared,5,9.526,9.522,9.353,9.006,18.0,0.0,0.0,0.0,0.147,240.0,0.175,1.147,0.396,3.521,0.815,4.732,0.476,0.247,0.043,1.601
gpu_shared_batched,5,2.879,2.876,2.707,2.477,4.0,4.0,3852.0,18.0,0.054,36.0,0.169,0.293,0.137,0.968,0.182,1.287,0.254,0.06,0.0,1.628
gpu_shared_cached_grid,5,2.769,2.766,2.602,2.283,18.0,0.0,0.0,0.0,0.126,240.0,0.17,0.189,0.089,0.446,0.486,1.021,0.423,0.205,0.0,0.545
